Sezon,Ora,Temperatura,Umbra,Radiatia Solara,Kw
Iarna,8,-4,77,10,472
Primavara,15,16,53,3,1706
Toamna,12,14,51,10,709
Primavara,14,28,22,3,581
Iarna,11,-17,84,5,321
Toamna,15,18,28,5,270
Iarna,10,-11,5,5,244
Iarna,16,-2,26,10,73
Vara,9,29,57,4,3737
Vara,11,37,60,7,4702
Toamna,11,14,54,9,903
Primavara,13,30,45,8,750
Vara,15,29,24,5,1692
Toamna,11,24,64,7,941
Iarna,13,-3,1,9,217
Iarna,14,0,73,8,436
Iarna,14,-4,49,2,188
Iarna,13,-18,80,5,397
Iarna,13,4,86,9,337
Iarna,14,2,17,6,222
Vara,11,32,58,8,3205
Primavara,10,15,40,8,852
Toamna,9,14,31,9,378
Toamna,11,22,7,8,434
Toamna,13,23,23,3,209
Toamna,14,11,57,2,929
Vara,9,39,73,7,2820
Toamna,12,23,84,5,940
Toamna,13,10,46,3,165
Primavara,8,29,39,3,945
Toamna,11,25,71,4,812
Primavara,9,28,72,9,1826
Iarna,11,-8,63,7,280
Iarna,15,-5,34,9,186
Iarna,11,-20,67,8,310
Toamna,9,16,97,9,947
Primavara,11,15,54,10,1247
Primavara,9,24,56,3,1089
Vara,8,28,21,6,1042
Vara,13,27,37,5,2411
Vara,14,28,47,8,2295
Toamna,16,20,70,8,980
Vara,8,32,6,2,2218
Iarna,16,-18,27,7,121
Vara,14,31,9,10,716
Iarna,15,-18,77,4,453
Primavara,11,30,68,6,2419
Toamna,14,17,48,3,349
Primavara,15,27,52,3,2028
Vara,8,33,40,5,1408
Primavara,16,26,63,7,1013
Vara,12,39,18,6,1167
Toamna,12,13,39,8,266
Iarna,12,-6,13,4,87
Toamna,13,22,2,10,219
Vara,15,34,71,3,4325
Iarna,16,-20,44,7,136
Toamna,9,18,97,3,875
Iarna,16,-6,47,2,181
Vara,11,27,95,2,3936
Primavara,15,25,34,7,847
Vara,12,25,60,4,3529
Primavara,14,21,44,10,562
Iarna,11,-13,89,4,457
Primavara,11,29,7,6,720
Primavara,12,17,48,6,662
Vara,9,36,82,6,4193
Vara,10,40,62,10,3356
Primavara,11,27,42,3,879
Vara,11,39,24,7,1599
Primavara,9,25,24,10,596
Toamna,16,10,1,10,227
Iarna,13,1,66,4,398
Vara,14,28,47,10,2001
Toamna,8,23,74,8,970
Toamna,11,19,4,3,383
Toamna,10,12,55,9,778
Primavara,9,26,45,5,994
Iarna,14,-9,12,9,32
Iarna,15,-1,83,8,357
Iarna,15,-3,70,4,381
Primavara,11,15,23,5,815
Primavara,8,24,49,5,543
Iarna,14,5,59,4,383
Vara,13,33,18,5,1743
Vara,15,35,68,10,3071
Toamna,11,22,100,9,798
Primavara,16,26,81,4,1517
Primavara,8,20,21,8,822
Primavara,15,29,95,10,1820
Iarna,12,-17,76,9,255
Primavara,14,25,43,3,862
Toamna,16,25,2,4,142
Iarna,16,-7,59,6,300
Iarna,9,-16,46,4,53
Toamna,15,13,49,3,396
Toamna,9,12,11,6,414
Iarna,12,1,49,9,67
Primavara,16,27,95,6,1802
Toamna,16,12,96,7,836
Vara,15,25,87,10,2919
Primavara,13,16,63,7,2379
Toamna,10,25,86,7,920
Vara,8,40,21,7,1548
Toamna,13,15,39,5,145
Iarna,15,-1,93,3,356
Primavara,13,19,43,10,668
Primavara,13,27,38,6,717
Toamna,15,22,34,7,365
Iarna,14,-10,79,9,396
Vara,13,35,84,5,2719
Primavara,14,26,43,6,897
Toamna,10,14,57,8,591
Iarna,11,-10,60,10,316
Primavara,16,28,90,9,1198
Vara,12,36,53,9,3983
Vara,13,25,72,8,3223
Toamna,16,17,45,2,112
Primavara,14,28,69,5,1737
Vara,14,38,74,3,2555
Toamna,12,13,3,5,465
Toamna,13,12,34,10,447
Primavara,14,30,99,9,2294
Vara,15,39,1,3,623
Vara,16,37,41,2,1495
Vara,8,26,15,5,2466
Primavara,10,22,6,8,716
Iarna,14,-11,33,9,231
Primavara,14,26,22,8,947
Iarna,10,-2,25,5,8
Iarna,8,-1,53,4,329
Toamna,14,15,34,2,347
Vara,14,35,51,9,3706
Vara,13,25,52,6,3456
Primavara,8,28,63,8,1813
Toamna,12,10,19,7,126
Iarna,12,-12,24,10,217
Iarna,13,-9,20,9,9
Toamna,11,21,38,6,307
Primavara,13,27,88,8,1704
Primavara,13,24,100,4,1786
Toamna,13,17,6,6,368
Toamna,9,17,68,2,641
Iarna,10,-10,42,4,110
Toamna,15,17,74,7,780
Primavara,13,19,85,10,2438
Iarna,16,0,51,4,326
Toamna,12,21,33,8,439
Vara,16,28,38,6,1523
Toamna,14,14,85,9,790
Toamna,9,14,76,9,790
Iarna,14,-14,74,9,340
Vara,15,25,91,5,2663
Vara,15,37,9,6,1910
Vara,8,27,41,10,1539
Toamna,10,25,95,7,891
Iarna,16,-17,40,7,129
Primavara,11,15,18,2,627
Iarna,12,0,17,8,187
Vara,13,38,87,4,3674
